,sitename,url,collectiondate,startdate,enddate,companyname,location,recruitfield,recruittype,recruitclassification,personnel,salary,position,task,qualifications,prefer,welfare,description,stacks
0,SEEK,https://www.seek.com.au/job/60072203?type=promoted,2023-02-06,2023-02-06,,Jayden Enterprises Pty Ltd,"Mackay, Mackay & Coalfields QLD",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as an office administrator?
Do you have customer service experience?
Do you have a current Australian driver's licence?
",
1,SEEK,https://www.seek.com.au/job/60072426?type=promoted,2023-02-06,2023-02-06,,Jason's Towing,"Mackay, Mackay & Coalfields QLD",,,,,,"Couriers, Drivers & Postal Services (Manufacturing, Transport & Logistics)",,,,,"Are you willing to undergo a pre-employment medical check?
",
2,SEEK,https://www.seek.com.au/job/60073419?type=standout,2023-02-06,2023-02-06,,The University of Queensland,"St Lucia, Brisbane QLD",,,,,,Administrative Assistants (Administration & Office Support) â€¢ Other (Education & Training),,,,,,
3,SEEK,https://www.seek.com.au/job/60072147?type=standard,2023-02-06,2023-02-06,,Mission Australia,"Camperdown, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
4,SEEK,https://www.seek.com.au/job/60071244?type=standard,2023-02-06,2023-02-06,,Next Generation Contractors Pty Ltd,"Llandilo, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Australia?
",
5,SEEK,https://www.seek.com.au/job/60039516?type=standout,2023-02-06,2023-02-03,,Veteran Medical,"Narrabeen, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your right to work in Australia?
Which of the following Microsoft Office products are you experienced with?
Do you have customer service experience?
Do you have data entry experience?
",
6,SEEK,https://www.seek.com.au/job/60027100?type=standout,2023-02-06,2023-02-03,,Quay Appointments,Sydney NSW,,,,,,Data Entry & Word Processing (Administration & Office Support),,,,,,
7,SEEK,https://www.seek.com.au/job/60066324?type=standout,2023-02-06,2023-02-06,,VMORE,Brisbane QLD,,,,,,Medical Administration (Healthcare & Medical),,,,,"How many years' experience do you have as a medical secretary?
Which of the following medical practice management software do you have experience with?
",
8,SEEK,https://www.seek.com.au/job/60069468?type=standard,2023-02-06,2023-02-06,,Lifetime Wealth Planners,Sydney NSW,,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
",
9,SEEK,https://www.seek.com.au/job/60030302?type=standard,2023-02-06,2023-02-03,,Pet Resorts of Australia,"Terrigal, Gosford & Central Coast NSW",,,,,,"Veterinary Services & Animal Welfare (Farming, Animals & Conservation)",,,,,,
10,SEEK,https://www.seek.com.au/job/60071096?type=standout,2023-02-06,2023-02-06,,Gourmet Basket,"Belrose, Sydney NSW",,,,,,Customer Service - Call Centre (Call Centre & Customer Service),,,,,"Do you have customer service experience?
",
11,SEEK,https://www.seek.com.au/job/60070928?type=standard,2023-02-06,2023-02-06,,Wolfhouse,Brisbane QLD,,,,,,"Veterinary Services & Animal Welfare (Farming, Animals & Conservation)",,,,,,
12,SEEK,https://www.seek.com.au/job/60071420?type=standout,2023-02-06,2023-02-06,,The University of Sydney,"Darlington, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
13,SEEK,https://www.seek.com.au/job/60071181?type=standard,2023-02-06,2023-02-06,,Great Southern Hotel,Melbourne VIC,,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following statements best describes your right to work in Australia?
Which of the following statements best describes your Covid-19 vaccination status?
How many years' experience do you have as an administration coordinator?
Do you have customer service experience?
",
14,SEEK,https://www.seek.com.au/job/60071185?type=standard,2023-02-06,2023-02-06,,TMS Clinics Australia,Sydney NSW,,,,,,Receptionists (Administration & Office Support),,,,,,
15,SEEK,https://www.seek.com.au/job/59801736?type=standard,2023-02-06,2023-02-06,,Mecca Recruitment Group,Melbourne VIC,,,,,,Customer Service - Call Centre (Call Centre & Customer Service),,,,,"Which of the following statements best describes your right to work in Australia?
",
16,SEEK,https://www.seek.com.au/job/60065371?type=standout,2023-02-06,2023-02-06,,Camden South Family Doctors,"Camden South, Sydney NSW",,,,,,Medical Administration (Healthcare & Medical),,,,,"Do you have customer service experience?
Do you have experience in administration?
Which of the following statements best describes your Covid-19 vaccination status?
Which of the following Microsoft Office products are you experienced with?
Have you completed a qualification in business administration?
",
17,SEEK,https://www.seek.com.au/job/60065252?type=standout,2023-02-06,2023-02-05,,Private Advertiser,"Belmont, Brisbane QLD",,,,,,"Pickers & Packers (Manufacturing, Transport & Logistics)",,,,,"Which of the following statements best describes your right to work in Australia?
Do you have a current Australian driver's licence?
How many hours are you available to work per week?
How much notice are you required to give your current employer?
",
18,SEEK,https://www.seek.com.au/job/60068759?type=standard,2023-02-06,2023-02-06,,Harris Black Chartered Accountants,Brisbane QLD,,,,,,Receptionists (Administration & Office Support),,,,,"Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Australia?
Do you have customer service experience?
Do you have experience in administration?
",
19,SEEK,https://www.seek.com.au/job/60032590?type=standard,2023-02-06,2023-02-03,,CCA Mortgage Solutions,Melbourne VIC,,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as a Loans Support Officer?
Have you worked in a role which requires a sound understanding of the National Consumer Credit Protection (NCCP) act?
",
20,SEEK,https://www.seek.com.au/job/60038117?type=standard,2023-02-06,2023-02-03,,Palladium International Pty Ltd -Pacific Labour Facility,Brisbane QLD,,,,,,Data Entry & Word Processing (Administration & Office Support),,,,,,
21,SEEK,https://www.seek.com.au/job/60067802?type=standout,2023-02-06,2023-02-06,,The Royal Prince Alfred Yacht Club,"Newport, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Do you have customer service experience?
",
